na_acc,na_loss,rt_loss,log,id,backbone
0.628527323247916,1.1281879465091962,0.9700919201360069,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7153751157764742,0.8841324099864294,0.8201730304163303,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7615004631058969,0.8121322880338908,0.9337390193014684,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7318925594319234,0.8349255078072237,0.9509392169788686,BPI20TravelPermitData,18omlxg8,llama32-1b
0.6904600185242359,0.9285464775271532,0.8057556302799933,BPI20TravelPermitData,18omlxg8,llama32-1b
0.6973757332510034,0.9129199874515186,0.8750440480937999,BPI20TravelPermitData,18omlxg8,llama32-1b
0.6926211793763507,0.9948830947569764,0.7662908953036303,BPI20TravelPermitData,18omlxg8,llama32-1b
0.718122877431306,0.8358930296278103,1.1162250797628583,BPI20TravelPermitData,18omlxg8,llama32-1b
0.7856376894480984,0.6847006622078694,1.3476584554315125,BPI12,yc2f8yn9,qwen25-05b
0.6088969116385473,1.2828997012066916,1.809382082753561,BPI12,yc2f8yn9,qwen25-05b
0.7733235630540464,0.6598461380610304,1.5069099463989029,BPI12,yc2f8yn9,qwen25-05b
0.6125607663711753,1.3279516429672045,1.2935039821712842,BPI12,yc2f8yn9,qwen25-05b
0.7393122676579925,0.9843119957258198,1.5527021419773588,BPI12,yc2f8yn9,qwen25-05b
0.5878252788104089,1.585691791808636,1.487478705212018,BPI12,yc2f8yn9,qwen25-05b
0.7779704032027452,0.6660594745878154,1.0945485236220678,BPI12,yc2f8yn9,qwen25-05b
0.7271947383471548,0.8201419272387338,1.766053109898767,BPI12,yc2f8yn9,qwen25-05b
0.7823849013440092,0.6948615298770242,1.3851590328278596,BPI12,yc2f8yn9,qwen25-05b
0.7551472690877895,0.7099559061146137,1.806639784682848,BPI12,yc2f8yn9,qwen25-05b
0.7501608521589934,0.8510723432660751,1.820588922382151,BPI12,yc2f8yn9,qwen25-05b
0.7950207320560481,0.6765832612778345,1.6180384020942398,BPI12,yc2f8yn9,qwen25-05b
0.7205997998284244,0.8603132101154546,2.1960463252015496,BPI12,yc2f8yn9,qwen25-05b
0.6722011724335144,1.1244225144931717,1.5878140627229966,BPI12,yc2f8yn9,qwen25-05b
0.43728553045467544,1.941009329904104,1.372747283510934,BPI12,yc2f8yn9,qwen25-05b
0.6488061195310266,0.9635480701804059,1.708074642394845,BPI12,yc2f8yn9,qwen25-05b
0.815413211323992,0.5424054394049204,1.0168513718727217,BPI12,yc2f8yn9,qwen25-05b
0.7885866456963111,0.7052296510859493,1.4950180788116179,BPI12,yc2f8yn9,qwen25-05b
0.726837289104947,0.8000318008318675,1.9118188133397749,BPI12,yc2f8yn9,qwen25-05b
0.6358128395767801,1.174063521119094,2.217012199984684,BPI12,yc2f8yn9,qwen25-05b
0.8162174721189591,0.629740286118854,2.2233087593204326,BPI12,yc2f8yn9,qwen25-05b
0.6288247068916214,1.4151468049603801,1.4582064070972949,BPI12,yc2f8yn9,qwen25-05b
0.7839040606233915,0.7135258995365135,1.695127888055066,BPI12,yc2f8yn9,qwen25-05b
0.7610630540463255,0.6887186909952537,2.068039601973919,BPI12,yc2f8yn9,qwen25-05b
0.7925185873605948,0.6299552808395616,1.4241694698154432,BPI12,yc2f8yn9,qwen25-05b
0.7998792737433956,0.5738668645972773,0.6519560251592941,BPI17,nm1g0rts,llama32-1b
0.8505639543953174,0.40756927218726224,0.64979479327628,BPI17,nm1g0rts,llama32-1b
0.8567053940220156,0.4040838177632762,0.6114786613016706,BPI17,nm1g0rts,llama32-1b
0.8649629343262729,0.3776043538427396,0.5982763772788893,BPI17,nm1g0rts,llama32-1b
0.5517393398037181,1.2165698861662813,0.6996542672218806,BPI17,nm1g0rts,llama32-1b
0.8642609586207364,0.3829327009708685,0.6529716729120082,BPI17,nm1g0rts,llama32-1b
0.8601169281271831,0.39432462544178326,0.5987416587045802,BPI17,nm1g0rts,llama32-1b
0.8557999470974831,0.3895825165812444,0.624007413758588,BPI17,nm1g0rts,llama32-1b
0.8587197590900767,0.39557063798264525,0.63903471789365,BPI17,nm1g0rts,llama32-1b
0.8587909740167253,0.4006614234744191,0.6004566780040812,BPI17,nm1g0rts,llama32-1b
0.8643491294823014,0.37941414881340846,0.6077955828249807,BPI17,nm1g0rts,llama32-1b
0.8612054991488121,0.38270825445367,0.5905851993786789,BPI17,nm1g0rts,llama32-1b
0.8613004523843436,0.39515127135604144,0.6103557468923249,BPI17,nm1g0rts,llama32-1b
0.8618667806105493,0.379331196062161,0.6187699514998043,BPI17,nm1g0rts,llama32-1b
0.8677097957827199,0.37050026041569384,0.6161587770949879,BPI17,nm1g0rts,llama32-1b
0.8686932400078675,0.3629872678110323,0.6049476399115327,BPI17,nm1g0rts,llama32-1b
,,,BPI17,nm1g0rts,llama32-1b
0.556065913640263,1.423267632066641,1.4991340482272453,BPI12,awm2vil8,pm-gpt2
0.6210323134114956,1.188486282369359,1.7245526322815328,BPI12,awm2vil8,pm-gpt2
0.7253002573634544,0.8701557874134142,1.1404609575181612,BPI12,awm2vil8,pm-gpt2
0.782563625965113,0.7107319185605621,2.4533853307265168,BPI12,awm2vil8,pm-gpt2
0.7585787818129825,0.7341600977798377,1.9167794133825475,BPI12,awm2vil8,pm-gpt2
0.7475514726908778,0.7824874095723122,2.8238379747370055,BPI12,awm2vil8,pm-gpt2
0.773823991993137,0.6676345241898157,2.1672256919482127,BPI12,awm2vil8,pm-gpt2
0.7434944237918215,0.7788305897558625,2.6273746461481546,BPI12,awm2vil8,pm-gpt2
0.7983092650843581,0.5843074140904595,1.9752070799018269,BPI12,awm2vil8,pm-gpt2
0.7787746639977123,0.6840964993443324,1.7828506484205873,BPI12,awm2vil8,pm-gpt2
,,,BPI12,awm2vil8,pm-gpt2
0.8240448721861626,0.4879905493365621,0.5846470471842281,BPI17,a8leo2xl,pm-gpt2
0.8477967458169708,0.41837089188723525,0.6268604087830884,BPI17,a8leo2xl,pm-gpt2
0.8667195691836056,0.37208980604260455,0.6851910850441126,BPI17,a8leo2xl,pm-gpt2
0.8634877679885513,0.37848615873071867,0.6881763796848023,BPI17,a8leo2xl,pm-gpt2
0.8685677660894866,0.3582271922207997,0.6305372101150278,BPI17,a8leo2xl,pm-gpt2
0.8610901987913809,0.3616184809743465,0.6122735533753524,BPI17,a8leo2xl,pm-gpt2
0.8612021079618288,0.3715987994267076,0.5949212617600089,BPI17,a8leo2xl,pm-gpt2
0.8730102210375675,0.3443652878414591,0.5682873865700735,BPI17,a8leo2xl,pm-gpt2
0.8605069146302589,0.36732722323217387,0.5747139715509483,BPI17,a8leo2xl,pm-gpt2
0.8632368201517895,0.35793485183597323,0.5812558110040146,BPI17,a8leo2xl,pm-gpt2
,,,BPI17,a8leo2xl,pm-gpt2
0.461980198019802,2.0804786512167146,1.2808067464356374,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.6738613861386139,1.574509381398116,1.1418830338090953,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.7540594059405941,1.274124595056666,1.10490649204443,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.7572277227722772,1.1286952994129444,1.089664067136179,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.7627722772277228,1.0165333785160933,1.040724369275688,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.7720792079207921,0.9401952989030593,1.1333264057234962,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.7500990099009901,0.9093201977191585,1.085495640263699,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.7392079207920792,0.893319662443482,1.0360906752501384,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.737029702970297,0.8694491276410546,1.0468350729611842,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.7265346534653465,0.8539593003055836,1.1165419575247435,BPI20PrepaidTravelCosts,oblp4ux6,pm-gpt2
0.8429200397670785,0.44767744394548065,0.7047926511738791,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.7237608294276381,0.637870640802783,0.6811449000856075,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.7628177815651186,0.5707647236652155,0.7145388222201239,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.7274534867206363,0.7599181962307839,0.9296380843379386,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.78014486578611,0.5508464918338412,0.6391568068769943,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.7375372816361312,0.7945534668597218,0.8578316273125138,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.7690668939071155,0.6621710596191597,0.6953977289025104,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.7292998153671354,0.8530838921266157,0.6914115866346973,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.7655162618946172,0.6479763431383828,0.7284806740079104,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.7612555034796193,0.7564649232458855,0.6365625055451536,BPI20RequestForPayment,augz4n1h,pm-gpt2
0.6954615622105588,1.0181121021776003,1.2692617913682214,BPI20TravelPermitData,v2anbjw1,pm-gpt2
0.7106823093547391,0.8546689975994095,1.0549245251958552,BPI20TravelPermitData,v2anbjw1,pm-gpt2
0.7426057425131213,0.7830124586811401,1.2016952067401976,BPI20TravelPermitData,v2anbjw1,pm-gpt2
0.7365853658536585,0.8245174893187535,1.2165259206394385,BPI20TravelPermitData,v2anbjw1,pm-gpt2
